game_id, game_period, game_seconds, event_type, coords_x, coords_y, zone_code
2024030171, 3, 3599, "faceoff", 0, 0, "N"
2024020701, 3, 3598, "faceoff", 0, 0, "N"
2023021076, 3, 3599, "faceoff", 0, 0, "N"
2023020052, 3, 3599, "faceoff", 0, 0, "N"
2023020023, 3, 3599, "faceoff", 0, 0, "N"
2023020011, 3, 3599, "faceoff", 0, 0, "N"
2022030133, 3, 3598, "faceoff", NA, NA, NA
2022030112, 3, 3597, "faceoff", NA, NA, NA
2022020837, 3, 3599, "faceoff", 0, 0, "N"
2022020761, 3, 3492, "faceoff", NA, NA, NA
2021020754, 3, 3599, "faceoff", NA, NA, NA
2021020730, 3, 3599, "faceoff", 0, 0, "N"
2020020853, 3, 3599, "faceoff", 0, 0, "N"
2020020570, 3, 3599, "faceoff", 0, 0, "N"
2020020295, 3, 3599, "faceoff", 0, 0, "N"
2020020253, 3, 3599, "faceoff", 0, 0, "N"
2020020144, 3, 3599, "faceoff", 0, 0, "N"
2019030323, 1, 1199, "faceoff", NA, NA, NA
2019030011, 3, 3599, "faceoff", 0, 0, "N"
2019020981, 3, 2543, "faceoff", NA, NA, NA
2019020861, 2, 1868, "faceoff", NA, NA, NA
2019020859, 2, 1485, "faceoff", NA, NA, NA
2019020610, 1, 815, "faceoff", NA, NA, NA
2019020519, 3, 2567, "faceoff", NA, NA, NA
2019020504, 2, 2399, "faceoff", NA, NA, NA
2019020357, 3, 3599, "faceoff", 0, 0, "N"
2019020295, 1, 509, "faceoff", NA, NA, NA
2019020220, 2, 2272, "faceoff", NA, NA, NA
2019020201, 2, 1763, "faceoff", NA, NA, NA
2019020090, 3, 2651, "faceoff", NA, NA, NA
2019020078, 3, 3581, "faceoff", NA, NA, NA
2019020008, 2, 1238, "faceoff", NA, NA, NA
2018030135, 3, 2937, "faceoff", 0, 0, "N"
2018030127, 3, 3599, "faceoff", 0, 0, "N"
2018021170, 3, 2670, "faceoff", 0, 0, "N"
2018021090, 3, 3599, "faceoff", 0, 0, "N"
2018021004, 1, 437, "faceoff", 0, 0, "N"
2018020963, 3, 2790, "faceoff", 0, 0, "N"
2018020917, 1, 732, "faceoff", 0, 0, "N"
2018020812, 3, 3456, "faceoff", 0, 0, "N"
2018020477, 3, 3070, "faceoff", 0, 0, "N"
2018020443, 3, 2580, "faceoff", 0, 0, "N"
2018020073, 3, 3599, "faceoff", 0, 0, "N"
2017030415, 2, 1780, "faceoff", 0, 0, "N"
2017021022, 2, 1861, "faceoff", 0, 0, "N"
2017020829, 1, 34, "faceoff", 0, 0, "N"
2017020778, 1, 946, "faceoff", 0, 0, "N"
2017020776, 3, 3599, "faceoff", 0, 0, "N"
2017020653, 2, 2142, "faceoff", 0, 0, "N"
2017020514, 3, 3507, "faceoff", 0, 0, "N"
2017020299, 3, 3384, "faceoff", 0, 0, "N"
2017020262, 1, 1021, "faceoff", 0, 0, "N"
2017020204, 3, 2673, "faceoff", 0, 0, "N"
2017020161, 2, 1869, "faceoff", 0, 0, "N"
2017020107, 2, 1361, "faceoff", 0, 0, "N"
2016021065, 2, 2147, "faceoff", 0, 0, "N"
2016020986, 2, 1768, "faceoff", 0, 0, "N"
2016020960, 3, 3565, "faceoff", 0, 0, "N"
2016020904, 1, 1013, "faceoff", 0, 0, "N"
2016020753, 3, 3455, "faceoff", 0, 0, "N"
2016020721, 3, 2977, "faceoff", 0, 0, "N"
2016020714, 1, 659, "faceoff", 0, 0, "N"
2016020257, 3, 3599, "faceoff", 0, 0, "N"
2016020215, 1, 241, "faceoff", 0, 0, "N"
2016020064, 2, 2360, "faceoff", 0, 0, "N"
2015021222, 3, 3584, "faceoff", 0, 0, "N"
2015021174, 2, 2399, "faceoff", 0, 0, "N"
2015020981, 1, 554, "faceoff", 0, 0, "N"
2015020541, 3, 3599, "faceoff", 0, 0, "N"
2015020523, 2, 2335, "faceoff", 0, 0, "N"
2015020316, 3, 3599, "faceoff", 0, 0, "N"
2015020258, 1, 77, "faceoff", 0, 0, "N"
2015020196, 3, 3599, "faceoff", 0, 0, "N"
2015020065, 3, 3599, "faceoff", 0, 0, "N"
2009020137, 5, 3900, "period-end", NA, NA, NA
